title,certification_number,listing_price_in_cents,current_offer_in_cents,item_status,payout_status,folder,listing_url,sale_date,sale_price_in_cents,seller_fee_percentage,seller_net_in_cents
2003 Topps Chrome LeBron James ROOKIE #111 BGS 9.5 GEM MINT,0011032672,425000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/75437bb2-edef-4bc3-acaa-a3b7b937cd91,2026-06-02T22:45:44Z,425000,6.00,399500
1996 Bowman's Best Kobe Bryant ROOKIE #R23 PSA 10 GEM MINT,04481288,135000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/83e6eed3-b454-46ca-aa87-033d0ee86d67,2026-06-02T12:22:52Z,135000,6.00,126900
2024 Topps Chrome 50/50 Green Refractor Shohei Ohtani /99 #14 BGS 9.5 GEM MINT,0018319291,42000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/15f2ff07-f9a9-4660-84de-6bf4dfe0e162,2026-05-28T17:59:35Z,42000,6.00,39480
1996 Bowman's Best Kobe Bryant ROOKIE #R23 PSA 10 GEM MINT,22396347,132500,,,Payout complete,,https://www.fanaticscollect.com/buy-now/71fc35b4-c136-4035-a930-30378bbe56f0,2026-05-31T03:59:45Z,132500,6.00,124550
2021 Panini Flawless Diamond Gems Bronze Shai Gilgeous-Alexander 1/3 #66,,65000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/bd5ec7eb-e432-4f4d-88ff-63df278bb029,2026-05-26T19:01:24Z,65000,6.00,61100
2024 Topps Chrome Update Celebracion Yoshinobu Yamamoto ROOKIE /99 #18 PSA 10 GEM MINT,133751952,79900,,,Payout complete,,https://www.fanaticscollect.com/buy-now/11e65ca7-80de-4a80-9f80-efb4322ad29e,2026-05-27T10:40:30Z,79900,6.00,75106
2014 Panini Spectra Millenial Green Prizm Stephen Curry PATCH /5 #MM-SC BGS 9.5 GEM MINT,0009192296,150000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/5e0c5e20-c4f0-4786-b2fd-a9441463708e,2026-05-27T12:08:49Z,150000,6.00,141000
1987 Fleer Basketball Michael Jordan #59 PSA 8 NM-MT,26235060,120000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/0cf73833-1923-4eb1-9148-3667855cab85,2026-05-27T09:42:19Z,120000,6.00,112800
2023 Panini Prizm Ruby Wave Victor Wembanyama ROOKIE #136 PSA 10 GEM MINT,88060208,140000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/c6f44cab-ed43-44cf-946a-3fcbe32c239b,2026-05-26T13:16:42Z,140000,6.00,131600
2020 Panini One And One Downtown Zion Williamson #1 BGS 9.5 GEM MINT,0016076794,39200,,,Payout complete,,https://www.fanaticscollect.com/buy-now/9202b7f1-4b2e-4dfc-aa93-917988876247,2026-05-22T22:25:06Z,39200,6.00,36848
2025 Topps Chrome Silver Pack '80 Gold LeBron James 1/50 #TC-LJ PSA 10 GEM MINT,136261806,237000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/8adec545-500e-4494-9a04-2e3a83fc0ead,2026-05-20T19:33:38Z,237000,6.00,222780
2014 Panini Prizm SP Variations Silver LeBron James #10 PSA 10 GEM MINT,74868769,30000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/77ea6a68-5e90-4049-94cc-b4cae63b2c03,2026-05-21T16:33:30Z,30000,6.00,28200
2023 Donruss FIFA Optic Ice Lamine Yamal ROOKIE #54 PSA 10 GEM MINT,118495715,300000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/f22f20cf-c9ac-4612-b39d-d02024ae90ba,2026-05-20T12:29:51Z,300000,6.00,282000
1997 Hoops Hooperstars Die-Cut Michael Jordan #1 PSA 10 GEM MINT,17491098,690000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/a0e8a662-a046-47d0-b327-0e1c99b05e3d,2026-05-19T13:28:29Z,690000,6.00,648600
2017 Panini Prizm Silver Patrick Mahomes II ROOKIE #269 BGS 9.5 GEM MINT,0012199876,260000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/a179f770-e88a-4915-9cc3-5385957c8396,2026-05-16T20:12:44Z,260000,6.00,244400
2024 Donruss Optic Downtown Prizm Victor Wembanyama #16 PSA 10 GEM MINT,133010822,1250000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/8576beaf-1ab5-4faa-b54c-119170a3fe40,2026-05-19T12:06:59Z,1250000,12.00,1100000
2003 Topps Chrome LeBron James ROOKIE #111 BGS 9.5 GEM MINT,0006071745,395000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/28b20008-ad9f-455c-b602-53978e0c00ab,2026-05-19T06:08:26Z,395000,6.00,371300
2003 Bowman Rookies & Stars Gold LeBron James ROOKIE #123 PSA 8 NM-MT,52577375,215000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/2e293c61-1185-4de3-9490-081b229f6a2c,2026-05-14T15:11:52Z,215000,6.00,202100
2025 Topps Chrome Black Refractor Jalen Brunson /10 #101 CGC AUTH,6134559005,49900,,,Payout complete,,https://www.fanaticscollect.com/buy-now/d511e811-6bd9-4535-9a6a-1450568048c8,2026-05-10T23:27:34Z,49900,12.00,43912
1996 Topps w/ Coating Holding Court Refractor Michael Jordan #HC2 BGS 8 NM-MT,0007873191,54500,,,Payout complete,,https://www.fanaticscollect.com/buy-now/b4a05e2c-2f91-4e36-bb8c-0c0739917220,2026-04-28T12:51:04Z,54500,6.00,51230
2025 Topps Chrome Cosmic Green Space Dust Refractor Paul Skenes /75 #100 CGC AUTH,6134945015,13100,,,Payout complete,,https://www.fanaticscollect.com/buy-now/48ada16a-d0c4-4d22-84ca-15d773f22ef4,2026-05-08T15:43:03Z,13100,12.00,11528
2024 Topps Chrome Update '24 All-Star Game Red Elly De La Cruz ROOKIE 5/5 #44 PSA 9 MINT,104679928,47500,,,Payout complete,,https://www.fanaticscollect.com/buy-now/626e10cb-e985-4fb5-8f06-727c33d7efea,2026-05-08T12:34:42Z,47500,6.00,44650
1992 Stadium Club Beam Team Members Only Parallel Michael Jordan #1 BGS 9 MINT,0018523337,150000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/fece3768-fcee-4bfa-9351-66e85132fe75,2026-05-07T17:09:08Z,150000,6.00,141000
2019 Crown Royale Kaboom! Giannis Antetokounmpo #11 BGS 9.5 GEM MINT,0012985310,205000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/9f57912c-0688-4ddf-acc2-518e253840e4,2026-05-05T18:48:27Z,205000,6.00,192700
2024 Panini Flawless Leaders Diamond Gems Fuchsia LeBron James 1/3 #156,,60000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/98b165ad-d1b8-4d73-9b9a-3631252cc2f7,2026-05-04T12:39:53Z,60000,6.00,56400
2024 Panini Flawless Diamond Gems Emerald LeBron James /5 #39 PSA 9 MINT,133901597,106000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/13d63479-b946-48cc-8619-b3cdfebcb742,2026-05-04T12:28:20Z,106000,6.00,99640
2023 Topps Pristine Road To UEFA Euro '24 Red Cristiano Ronaldo /5 #131 PSA 10 GEM MINT,99271438,82500,,,Payout complete,,https://www.fanaticscollect.com/buy-now/0ff0e61f-a530-46ff-8ba5-c26436fc0e5d,2026-04-30T21:39:53Z,82500,6.00,77550
2025 Topps Chrome Rock Stars Die-Cut LeBron James #RS-3 CGC AUTH,6134945002,30000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/d5d0af92-a170-47c7-84be-d19261aafd6d,2026-04-29T02:48:19Z,30000,6.00,28200
2025 Absolute Kaboom! Horizontal Lawrence Taylor #7 CGC AUTH,6138399010,58000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/39c9eefa-6c60-4567-b8aa-5a2ae210fc75,2026-04-28T14:29:47Z,58000,6.00,54520
2024 Panini Eminence Emerald Shai Gilgeous-Alexander AUTO 1/3 #7,,202500,,,Payout complete,,https://www.fanaticscollect.com/buy-now/adedfd05-5d90-413d-a3c6-8543450b50c9,2026-04-22T02:31:14Z,202500,6.00,190350
2007 SP Authentic Kevin Durant ROOKIE AUTO /399 #152 PSA 8 NM-MT,66700645,140800,,,Payout complete,,https://www.fanaticscollect.com/buy-now/52bcb550-1297-415e-84cb-5a04f1ab3242,2026-04-22T13:46:12Z,140800,6.00,132352
2014 Select Light Blue Prizm Die-Cut LeBron James /199 #119 PSA 10 GEM MINT,108008437,55000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/b6a9fe0c-5b63-473e-8626-b247c2e18e98,2026-04-20T14:06:33Z,55000,6.00,51700
2023 Panini Prizm Silver Victor Wembanyama ROOKIE #136 PSA 9 MINT,119505318,82500,,,Payout complete,,https://www.fanaticscollect.com/buy-now/32aabfb0-b3d7-4e6c-82a7-2a963a6742ab,2026-04-20T21:03:41Z,82500,6.00,77550
2025 Topps Chrome Orange Refractor Donovan Mitchell AUTO /25 #TCA-DM CGC AUTH,6138399016,25000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/38917820-9c5c-4c7c-a1ea-ef01f5e2c5e2,2026-04-14T23:36:39Z,25000,12.00,22000
2024 Panini Revolution Kaboom Horizontal Ja Morant #11 CGC AUTH,6138399004,40000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/eacbcd21-0686-43bf-8755-fee456e31c49,2026-04-12T15:29:39Z,40000,12.00,35200
2023 Panini Flawless Aquamarine Gems Jalen Hurts 2/2 #53,,39900,,,Payout complete,,https://www.fanaticscollect.com/buy-now/af41c56a-1b07-4ab8-86a4-6ac0c1ec450e,2026-04-12T03:01:06Z,39900,6.00,37506
2025 Topps Chrome Loading Purple Refractor Cooper Flagg ROOKIE /75 #LD-11 CGC AUTH,6138399014,20000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/a6f2481f-1ce8-40d1-af99-3c052a429694,2026-04-06T00:00:45Z,20000,12.00,17600
2024 Panini Revolution Kaboom Horizontal Jaylen Brown #6 CGC AUTH,6138399007,57000,,,Payout complete,,https://www.fanaticscollect.com/buy-now/0e97a062-1742-491c-9b49-4768bdae07ab,2026-04-02T12:42:24Z,57000,12.00,50160
